Abel Mesquita Jr.,Sim,DEM,RR
Adail Carneiro,Sim,PP,CE
Adalberto Cavalcanti,Não,PTB,PE
Adelmo Carneiro Leão,Não,PT,MG
Adelson Barreto,Sim,PR,SE
Adilton Sachetti,Sim,PSB,MT
Aelton Freitas,Não,PR,MG
Afonso Florence,Não,PT,BA
Afonso Hamm,Sim,PP,RS
Afonso Motta,Não,PDT,RS
Aguinaldo Ribeiro,Sim,PP,PA
Alan Rick,Sim,PRB,AC
Alberto Filho,Sim,PMDB,MA
Alberto Fraga,Sim,DEM,DF
Alceu Moreira,Sim,PMDB,RS
Alessandro Molon,Não,REDE,RJ
Alex Canziani,Sim,PTB,PR
Alex Manente,Sim,PPS,SP
Alexandre Baldy,Sim,PTN,GO
Alexandre Leite,Sim,DEM,SP
Alexandre Serfiotis,Sim,PMDB,RJ
Alexandre Valle,Sim,PR,RJ
Alfredo Kaefer,Sim,PSL,PR
Alfredo Nascimento,Sim,PR,AM
Alice Portugal,Não,PCdoB,BA
Aliel Machado,Não,REDE,PR
Altineu Côrtes,Sim,PMDB,RJ
Aluisio Mendes,Não,PTN,MA
Ana Perugini,Não,PT,SP
Anderson Ferreira,Sim,PR,PE
André Abdon,Sim,PP,AP
André de Paula,Sim,PSD,PE
André Fufuca,Sim,PP,MA
Andre Moura,Sim,PSC,SE
Andres Sanchez,Não,PT,SP
Angelim,Não,PT,AC
Aníbal Gomes,AUSENTE,PMDB,CE
Antonio Brito,Não,PSD,BA
Antonio Bulhões,Sim,PRB,SP
Antonio Imbassahy,Sim,PSDB,BA
Antônio Jácome,Sim,PTN,RN
Ariosto Holanda,Não,PDT,CE
Arlindo Chinaglia,Não,PT,SP
Arnaldo Faria de Sá,Sim,PTB,SP
Arnaldo Jardim,Sim,PPS,SP
Arnaldo Jordy,Sim,PPS,PA
Arnon Bezerra,Não,PTB,CE
Arolde de Oliveira,Sim,PSC,RJ
Arthur Lira,Sim,PP,AL
Arthur Oliveira Maia,Sim,PPS,BA
Arthur Virgílio Bisneto,Sim,PSDB,AM
Assis Carvalho,Não,PT,PI
Assis do Couto,Não,PDT,PR
Átila Lins,Sim,PSD,AM
Átila Lira,Sim,PSB,PI
Augusto Carvalho,Sim,SD,DF
Augusto Coutinho,Sim,SD,PE
Aureo,Sim,SD,RJ
Bacelar,Não,PTN,BA
Baleia Rossi,Sim,PMDB,SP
Bebeto,Não,PSB,BA
Benedita da Silva,Não,PT,RJ
Benito Gama,Sim,PTB,BA
Benjamin Maranhão,Sim,SD,PA
Betinho Gomes,Sim,PSDB,PE
Beto Faro,Não,PT,PA
Beto Mansur,Sim,PRB,SP
Beto Rosado,Sim,PP,RN
Beto Salame,Abstenção,PP,PA
Bilac Pinto,Sim,PR,MG
Bohn Gass,Não,PT,RS
Bonifácio de Andrada,Sim,PSDB,MG
Bruna Furlan,Sim,PSDB,SP
Brunny,Não,PR,MG
Bruno Araújo,Sim,PSDB,PE
Bruno Covas,Sim,PSDB,SP
Cabo Daciolo,Sim,PTdoB,RJ
Cabo Sabino,Sim,PR,CE
Cabuçu Borges,Sim,PMDB,AP
Cacá Leão,Abstenção,PP,BA
Caetano,Não,PT,BA
Caio Narcio,Sim,PSDB,MG
Capitão Augusto,Sim,PR,SP
Capitão Fábio Abreu,Não,PTB,PI
Carlos Andrade,Sim,PHS,RR
Carlos Bezerra,Sim,PMDB,MT
Carlos Gomes,Sim,PRB,RS
Carlos Henrique Gaguim,Sim,PTN,TO
Carlos Manato,Sim,SD,ES
Carlos Marun,Sim,PMDB,MS
Carlos Melles,Sim,DEM,MG
Carlos Sampaio,Sim,PSDB,SP
Carlos Zarattini,Não,PT,SP
Carmen Zanotto,Sim,PPS,SC
Célio Silveira,Sim,PSDB,GO
Celso Maldaner,Sim,PMDB,SC
Celso Pansera,Não,PMDB,RJ
Celso Russomanno,Sim,PRB,SP
César Halum,Sim,PRB,TO
César Messias,Não,PSB,AC
Cesar Souza,Sim,PSD,SC
Chico Alencar,Não,PSOL,RJ
Chico D'Angelo,Não,PT,RJ
Chico Lopes,Não,PCdoB,CE
Christiane de Souza Yared,Sim,PR,PR
Cícero Almeida,Sim,PMDB,AL
Clarissa Garotinho,AUSENTE,PR,RJ
Claudio Cajado,Sim,DEM,BA
Cleber Verde,Sim,PRB,MA
Conceição Sampaio,Sim,PP,AM
Covatti Filho,Sim,PP,RS
Cristiane Brasil,Sim,PTB,RJ
Dagoberto Nogueira,Não,PDT,MS
Damião Feliciano,Não,PDT,PA
Dâmina Pereira,Sim,PSL,MG
Daniel Almeida,Não,PCdoB,BA
Daniel Coelho,Sim,PSDB,PE
Daniel Vilela,Sim,PMDB,GO
Danilo Cabral,Sim,PSB,PE
Danilo Forte,Sim,PSB,CE
Danrlei de Deus Hinterholz,Sim,PSD,RS
Darcísio Perondi,Sim,PMDB,RS
Davidson Magalhães,Não,PCdoB,BA
Décio Lima,Não,PT,SC
Delegado Éder Mauro,Sim,PSD,PA
Delegado Edson Moreira,Sim,PR,MG
Delegado Francischini,Sim,SD,PR
Delegado Waldir,Sim,PR,GO
Deley,Sim,PTB,RJ
Diego Andrade,Sim,PSD,MG
Diego Garcia,Sim,PHS,PR
Dilceu Sperafico,Sim,PP,PR
Dimas Fabiano,Sim,PP,MG
Domingos Neto,Não,PSD,CE
Domingos Sávio,Sim,PSDB,MG
Dr. João,Sim,PR,RJ
Dr. Jorge Silva,Sim,PHS,ES
Dr. Sinval Malheiros,Sim,PTN,SP
Duarte Nogueira,Sim,PSDB,SP
Dulce Miranda,Sim,PMDB,TO
Edinho Araújo,Sim,PMDB,SP
Edio Lopes,Não,PR,RR
Edmilson Rodrigues,Não,PSOL,PA
Eduardo Barbosa,Sim,PSDB,MG
Eduardo Bolsonaro,Sim,PSC,SP
Eduardo Cunha,Sim,PMDB,RJ
Eduardo Cury,Sim,PSDB,SP
Eduardo da Fonte,Sim,PP,PE
Efraim Filho,Sim,DEM,PA
Elcione Barbalho,Não,PMDB,PA
Eli Corrêa Filho,Sim,DEM,SP
Elizeu Dionizio,Sim,PSDB,MS
Eliziane Gama,Sim,PPS,MA
Elmar Nascimento,Sim,DEM,BA
Enio Verri,Não,PT,PR
Erika Kokay,Não,PT,DF
Erivelton Santana,Sim,PEN,BA
Eros Biondini,Sim,PROS,MG
Esperidião Amin,Sim,PP,SC
Evair Vieira de Melo,Sim,PV,ES
Evandro Gussi,Sim,PV,SP
Evandro Roman,Sim,PSD,PR
Expedito Netto,Sim,PSD,RO
Ezequiel Teixeira,Sim,PTN,RJ
Fábio Faria,Sim,PSD,RN
Fabio Garcia,Sim,PSB,MT
Fábio Mitidieri,Não,PSD,SE
Fábio Ramalho,Sim,PMDB,MG
Fabio Reis,Sim,PMDB,SE
Fábio Sousa,Sim,PSDB,GO
Fausto Pinato,Sim,PP,SP
Felipe Bornier,Sim,PROS,RJ
Felipe Maia,Sim,DEM,RN
Félix Mendonça Júnior,Não,PDT,BA
Fernando Coelho Filho,Sim,PSB,PE
Fernando Jordão,Sim,PMDB,RJ
Fernando Torres,Não,PSD,BA
Flávia Morais,Sim,PDT,GO
Flaviano Melo,Sim,PMDB,AC
Flavinho,Sim,PSB,SP
Floriano Pesaro,Sim,PSDB,SP
Francisco Chapadinha,Sim,PTN,PA
Francisco Floriano,Sim,DEM,RJ
Franklin,Sim,PP,MG
Gabriel Guimarães,Não,PT,MG
Genecias Noronha,Sim,SD,CE
George Hilton,Não,PROS,MG
Geovania de Sá,Sim,PSDB,SC
Geraldo Resende,Sim,PSDB,MS
Giacobo,Sim,PR,PR
Gilberto Nascimento,Sim,PSC,SP
