Abel Mesquita Jr.,Não,DEM,RR
Adail Carneiro,-,PP,CE
Adalberto Cavalcanti,-,Avante,PE
Adelmo Carneiro Leão,Não,PT,MG
Adelson Barreto,Não,PR,SE
Ademir Camilo,Sim,PODE,MG
Adilton Sachetti,Sim,PSB,MT
Aelton Freitas,Sim,PR,MG
Afonso Florence,Não,PT,BA
Afonso Hamm,Não,PP,RS
Afonso Motta,Não,PDT,RS
Aguinaldo Ribeiro,Sim,PP,PB
Alan Rick,Não,DEM,AC
Alberto Fraga,Sim,DEM,DF
Alceu Moreira,Sim,PMDB,RS
Alessandro Molon,Não,REDE,RJ
Alex Canziani,Sim,PTB,PR
Alex Manente,Não,PPS,SP
Alexandre Baldy,Sim,PODE,GO
Alexandre Leite,Abstenção,DEM,SP
Alexandre Serfiotis,Sim,PMDB,RJ
Alexandre Valle,Sim,PR,RJ
Alfredo Kaefer,Sim,PSL,PR
Alfredo Nascimento,Sim,PR,AM
Alice Portugal,Não,PCdoB,BA
Aliel Machado,Não,REDE,PR
Altineu Côrtes,Sim,PMDB,RJ
Aluisio Mendes,Sim,PODE,MA
Ana Perugini,Não,PT,SP
André Abdon,Sim,PP,AP
André Amaral,Sim,PMDB,PB
André de Paula,Não,PSD,PE
André Figueiredo,Não,PDT,CE
André Fufuca,Sim,PP,MA
Andre Moura,Sim,PSC,SE
Andres Sanchez,Não,PT,SP
Angelim,Não,PT,AC
Aníbal Gomes,Sim,PMDB,CE
Antonio Brito,Não,PSD,BA
Antonio Bulhões,Sim,PRB,SP
Antonio Carlos Mendes Thame,Não,PV,SP
Antonio Imbassahy,Sim,PSDB,BA
Antônio Jácome,Não,PODE,RN
Ariosto Holanda,Sim,PDT,CE
Arlindo Chinaglia,Não,PT,SP
Arnaldo Faria de Sá,Não,PTB,SP
Arnaldo Jordy,Não,PPS,PA
Arolde de Oliveira,Não,PSC,RJ
Arthur Lira,Sim,PP,AL
Arthur Oliveira Maia,Sim,PPS,BA
Assis Carvalho,Não,PT,PI
Assis do Couto,Não,PDT,PR
Átila Lins,Sim,PSD,AM
Átila Lira,Sim,PSB,PI
Augusto Carvalho,Não,SD,DF
Augusto Coutinho,Sim,SD,PE
Aureo,Sim,SD,RJ
Bacelar,Não,PODE,BA
Baleia Rossi,Sim,PMDB,SP
Bebeto,Não,PSB,BA
Benedita da Silva,Não,PT,RJ
Benito Gama,Sim,PTB,BA
Benjamin Maranhão,Sim,SD,PB
Betinho Gomes,Não,PSDB,PE
Beto Faro,Não,PT,PA
Beto Mansur,Sim,PRB,SP
Beto Rosado,Sim,PP,RN
Beto Salame,Sim,PP,PA
Bilac Pinto,Sim,PR,MG
Bohn Gass,Não,PT,RS
Bonifácio de Andrada,Sim,PSDB,MG
Bruna Furlan,Sim,PSDB,SP
Brunny,Sim,PR,MG
Bruno Araújo,Sim,PSDB,PE
Cabo Daciolo,Não,Avante,RJ
Cabo Sabino,Não,PR,CE
Cabuçu Borges,Sim,PMDB,AP
Cacá Leão,Sim,PP,BA
Caetano,Não,PT,BA
Caio Narcio,Sim,PSDB,MG
Cajar Nardes,Sim,PODE,RS
Capitão Augusto,Não,PR,SP
Capitão Fábio Abreu,Não,PTB,PI
Carlos Andrade,Não,PHS,RR
Carlos Bezerra,Sim,PMDB,MT
Carlos Gomes,Sim,PRB,RS
Carlos Henrique Gaguim,Sim,PODE,TO
Carlos Manato,Não,SD,ES
Carlos Marun,Sim,PMDB,MS
Carlos Melles,Sim,DEM,MG
Carlos Sampaio,Não,PSDB,SP
Carlos Souza,-,PSD,AM
Carlos Zarattini,Não,PT,SP
Carmen Zanotto,Não,PPS,SC
Célio Silveira,Sim,PSDB,GO
Celso Jacob,Sim,PMDB,RJ
Celso Maldaner,Sim,PMDB,SC
Celso Pansera,Não,PMDB,RJ
Celso Russomanno,Sim,PRB,SP
César Halum,Sim,PRB,TO
César Messias,Não,PSB,AC
Cesar Souza,Sim,PSD,SC
Chico Alencar,Não,PSOL,RJ
Chico D'Angelo,Não,PT,RJ
Chico Lopes,Não,PCdoB,CE
Christiane de Souza Yared,Não,PR,PR
Cícero Almeida,Não,PODE,AL
Claudio Cajado,Sim,DEM,BA
Cleber Verde,Sim,PRB,MA
Conceição Sampaio,Não,PP,AM
Covatti Filho,Sim,PP,RS
Cristiane Brasil,Sim,PTB,RJ
Dagoberto Nogueira,Não,PDT,MS
Damião Feliciano,Não,PDT,PB
Dâmina Pereira,Sim,PSL,MG
Daniel Almeida,Não,PCdoB,BA
Daniel Coelho,Não,PSDB,PE
Daniel Vilela,Sim,PMDB,GO
Danilo Cabral,Não,PSB,PE
Danilo Forte,Sim,PSB,CE
Danrlei de Deus Hinterholz,Não,PSD,RS
Darcísio Perondi,Sim,PMDB,RS
Davidson Magalhães,Não,PCdoB,BA
Décio Lima,Não,PT,SC
Dejorge Patrício,Sim,PRB,RJ
Delegado Éder Mauro,Não,PSD,PA
Delegado Edson Moreira,Sim,PR,MG
Delegado Francischini,Não,SD,PR
Delegado Waldir,Não,PR,GO
Deley,Não,PTB,RJ
Diego Andrade,Sim,PSD,MG
Diego Garcia,Não,PHS,PR
Dilceu Sperafico,Sim,PP,PR
Dimas Fabiano,Sim,PP,MG
Domingos Neto,Sim,PSD,CE
Domingos Sávio,Sim,PSDB,MG
Dr. Jorge Silva,Não,PHS,ES
Dr. Sinval Malheiros,Sim,PODE,SP
Dulce Miranda,Sim,PMDB,TO
Edio Lopes,Sim,PR,RR
Edmar Arruda,Sim,PSD,PR
Edmilson Rodrigues,-,PSOL,PA
Eduardo Barbosa,Não,PSDB,MG
Eduardo Bolsonaro,Não,PSC,SP
Eduardo Cury,Não,PSDB,SP
Eduardo da Fonte,Sim,PP,PE
Efraim Filho,Sim,DEM,PB
Elcione Barbalho,Sim,PMDB,PA
Eli Corrêa Filho,Sim,DEM,SP
Elizeu Dionizio,Sim,PSDB,MS
Eliziane Gama,Não,PPS,MA
Elmar Nascimento,Sim,DEM,BA
Enio Verri,Não,PT,PR
Erika Kokay,Não,PT,DF
Erivelton Santana,-,PEN,BA
Eros Biondini,Não,PROS,MG
Esperidião Amin,Não,PP,SC
Evair Vieira de Melo,Não,PV,ES
Evandro Gussi,Sim,PV,SP
Evandro Roman,Sim,PSD,PR
Expedito Netto,Não,PSD,RO
Ezequiel Fonseca,Sim,PP,MT
Ezequiel Teixeira,-,PODE,RJ
Fábio Faria,Sim,PSD,RN
Fabio Garcia,Sim,PSB,MT
Fábio Mitidieri,Não,PSD,SE
Fábio Ramalho,Sim,PMDB,MG
Fabio Reis,-,PMDB,SE
Fábio Sousa,Não,PSDB,GO
Fausto Pinato,Sim,PP,SP
Felipe Bornier,Não,PROS,RJ
Felipe Maia,Sim,DEM,RN
Félix Mendonça Júnior,Não,PDT,BA
Fernando Coelho Filho,Sim,PSB,PE
Fernando Monteiro,Sim,PP,PE
Fernando Torres,Não,PSD,BA
Flávia Morais,Não,PDT,GO
Flaviano Melo,Sim,PMDB,AC
Flavinho,Não,PSB,SP
Francisco Chapadinha,Sim,PODE,PA
Francisco Floriano,Sim,DEM,RJ
Franklin,Sim,PP,MG
Gabriel Guimarães,Não,PT,MG
Genecias Noronha,Sim,SD,CE
George Hilton,Não,PSB,MG
Geovania de Sá,Não,PSDB,SC
Geraldo Resende,Sim,PSDB,MS
Giacobo,Sim,PR,PR
Gilberto Nascimento,Sim,PSC,SP
Giovani Cherini,Sim,PR,RS
Giuseppe Vecci,Sim,PSDB,GO
Givaldo Carimbão,Não,PHS,AL
Givaldo Vieira,Não,PT,ES
Glauber Braga,Não,PSOL,RJ
Gonzaga Patriota,Não,PSB,PE
Gorete Pereira,Sim,PR,CE
Goulart,Sim,PSD,SP
Guilherme Mussi,Sim,PP,SP
Heitor Schuch,Não,PSB,RS
Helder Salomão,Não,PT,ES
Hélio Leite,Sim,DEM,PA
Henrique Fontana,Não,PT,RS
Heráclito Fortes,Sim,PSB,PI
Herculano Passos,Sim,PSD,SP
Hermes Parcianello,Sim,PMDB,PR
Heuler Cruvinel,Não,PSD,GO
Hildo Rocha,Sim,PMDB,MA
Hiran Gonçalves,Sim,PP,RR
Hissa Abrahão,-,PDT,AM
Hugo Leal,Não,PSB,RJ
Hugo Motta,Sim,PMDB,PB
Iracema Portella,Sim,PP,PI
Irajá Abreu,Não,PSD,TO
Irmão Lazaro,Não,PSC,BA
Ivan Valente,Não,PSOL,SP
Izalci Lucas,Sim,PSDB,DF
Izaque Silva,Não,PSDB,SP
Jaime Martins,Não,PSD,MG
Jair Bolsonaro,Não,PSC,RJ
